pdb,Hchain,Lchain,model,antigen_chain
4aei,H,L,0,A
7mzg,H,L,0,A
6ddm,B,A,0,C
4tqe,H,L,0,A
6q0e,H,L,0,A
5cba,A,B,0,E
1mhp,H,L,0,A
6xlz,H,L,0,P | A
4lkx,A,B,0,R
4gms,H,L,0,A
6mqc,A,B,0,D
4glr,H,I,0,A
3f58,H,L,0,P
6ldx,H,L,0,B
6bf4,B,C,0,A
7kfx,H,L,0,A
5w5z,H,L,0,A
6vbq,H,L,0,P
7rks,H,L,0,R
4f15,B,C,0,A
2j6e,H,L,0,A
6ct7,H,L,0,S
3zkm,C,D,0,B
5f3h,A,B,0,J
6mqe,A,B,0,D
1xgy,H,L,0,P
7lm9,H,L,0,A
6xlq,B,C,0,A
5t78,B,A,0,F
4ene,C,D,0,A
5eii,A,B,0,I
2r29,H,L,0,A
5kjr,H,L,0,G
6pds,B,A,0,C
4irz,H,L,0,A
4xrc,B,A,0,D
4m5z,H,L,0,A
4g7v,H,L,0,S
6glw,C,D,0,B
7e5o,H,L,0,A
3q1s,H,L,0,I
1nby,B,A,0,C
3gjf,H,L,0,A | C
1bql,H,L,0,Y
3uji,H,L,0,P
3iu3,A,B,0,K
6uvo,H,L,0,D
6o39,B,A,0,C
6cw2,A,B,0,D | C
1tzh,B,A,0,W
6fgb,H,L,0,A | B
3mj9,H,L,0,A
6umx,H,L,0,A
6fla,A,B,0,G
6lgw,A,B,0,E
7coe,H,L,0,A
5a3i,C,D,0,A | F
5t5b,H,L,0,E
7e7x,H,L,0,A
4j8r,B,A,0,I
7l0n,A,B,0,R
3eyf,B,A,0,E
4okv,A,B,0,F
3cx5,J,K,0,E
6nmr,H,L,0,S
2oqj,B,A,0,C
6xcj,H,L,0,G
5wk3,Q,P,0,A
2otu,B,A,0,P
4kv5,J,I,0,B
3w9e,A,B,0,C
6m3b,C,B,0,A
4z5r,K,J,0,D
4dgi,H,L,0,A
4j6r,H,L,0,G
7e9b,H,L,0,C
3bgf,H,L,0,S
7dm1,D,C,0,A
7neh,H,L,0,E
7dm2,H,L,0,A
6osv,H,L,0,K
6t9e,A,B,0,C
2gsi,B,A,0,W
6gku,H,L,0,A
5w08,G,H,0,A
4hlz,G,H,0,B | A
1rjl,B,A,0,C
5eoc,H,L,0,P
5vta,H,L,0,D
1fj1,B,A,0,F
1ztx,H,L,0,E
4zff,A,B,0,C
4lqf,H,L,0,A
4yhp,C,D,0,Q
5u3m,H,L,0,A
3hae,H,L,0,A | C
2qqn,H,L,0,A
6p8d,A,B,0,C
6x8q,H,L,0,P
4xvu,C,D,0,B
6wg0,H,L,0,P
6o23,A,B,0,E
2wub,H,L,0,A
6ogx,C,D,0,G
6pis,H,L,0,B
6xqw,H,L,0,E
5dsc,A,B,0,Q
6vvu,E,F,0,C
4lsr,H,L,0,G
3a67,H,L,0,Y
4dw2,H,L,0,U
7kyo,H,L,0,B
6ss4,H,L,0,A
5kvg,H,L,0,E
6ddr,B,A,0,C
2xra,H,L,0,A
1nfd,F,E,0,B
5y2l,I,J,0,B | A
7lsg,H,L,0,C
6ban,B,A,0,M
6fy2,H,L,0,P
1ggi,H,L,0,P
5v7j,H,L,0,G
7r6x,H,L,0,R
1zea,H,L,0,A
5x8m,B,C,0,A
7o52,H,L,0,U
2qsc,H,L,0,P
6uj9,H,L,0,A | C
6pxh,C,D,0,A
6bzu,A,B,0,J
3gi8,H,L,0,C
1xgu,B,A,0,C
1ikf,H,L,0,C
2jel,H,L,0,P
1ors,B,A,0,C
4lsu,H,L,0,G
6pze,H,L,0,A
3b2u,H,L,0,A
4xvt,H,L,0,G
6gk8,H,L,0,I
7or9,A,B,0,E
7s4s,H,L,0,A
4z0x,B,A,0,C
6mlk,H,L,0,A
7c88,H,L,0,M
5kan,G,I,0,D | E
5vco,B,A,0,F
4rrp,G,A,0,M
6ss2,H,L,0,A
5bv7,H,L,0,A
4tsc,H,L,0,A
6o2a,A,B,0,F
6cdo,A,B,0,C
6xli,A,B,0,E
1mlc,B,A,0,E
4jzn,I,P,0,K
7n4i,H,L,0,C
4ydk,H,L,0,G
6b0g,D,C,0,E
6lz9,H,L,0,B
3bt2,H,L,0,U
5kvd,H,L,0,E
